"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs"
"38858","38858","txn","","","Pachyrhinosaurus","","38858","genus","Pachyrhinosaurus","251723","18562","extinct","16"
"340975","340975","txn","","","Machairoceratops","","340975","genus","Machairoceratops","53953","59187","extinct","1"
"249798","249798","txn","","","Xenoceratops","","249798","genus","Xenoceratops","53953","43464","extinct","1"
"437582","437582","txn","","","Menefeeceratops","","437582","genus","Menefeeceratops","53953","76871","extinct","1"
"378712","378712","txn","","","Yehuecauhceratops","","378712","genus","Yehuecauhceratops","376008","67324","extinct","1"
"273963","273963","txn","","","Nasutoceratops","","273963","genus","Nasutoceratops","376008","47615","extinct","1"
"55538","55538","txn","","","Avaceratops","","55538","genus","Avaceratops","376008","25472","extinct","3"
"475401","475401","txn","","","Furcatoceratops","","475401","genus","Furcatoceratops","376008","85498","extinct","1"
"378710","378710","txn","","","Crittendenceratops","","378710","genus","Crittendenceratops","376008","67323","extinct","2"
"324308","324308","txn","","","Wendiceratops","","324308","genus","Wendiceratops","53953","55763","extinct","1"
"63894","63894","txn","","","Brachyceratops","nomen dubium","53953","subfamily","Centrosaurinae","53953","13459","extinct","4"
"38854","38854","txn","","","Centrosaurus","","38854","genus","Centrosaurus","398131","13668","extinct","56"
"215069","215069","txn","","","Spinops","","215069","genus","Spinops","398131","39514","extinct","1"
"170627","170627","txn","","","Rubeosaurus","","170627","genus","Rubeosaurus","398131","33790","extinct","2"
"38860","38860","txn","","","Styracosaurus","","38860","genus","Styracosaurus","398131","17544","extinct","10"
"249800","249800","txn","","","Coronosaurus","","249800","genus","Coronosaurus","398131","43464","extinct","2"
"38857","38857","txn","","","Monoclonius","","38857","genus","Monoclonius","53953","15650","extinct","13"
"168664","168664","txn","","","Sinoceratops","","168664","genus","Sinoceratops","53953","32999","extinct","1"
"170568","170568","txn","","","Diabloceratops","","170568","genus","Diabloceratops","53953","33418","extinct","2"
"418756","418756","txn","","","Stellasaurus","","418756","genus","Stellasaurus","53953","72323","extinct","1"
"53038","53038","txn","","","Agathaumas","nomen dubium","38851","family","Ceratopsidae","38851","53113","extinct","1"
"94334","94334","txn","","","Eucentrosaurus","","94334","genus","Eucentrosaurus","72189","7320","extinct","0"
"170631","170631","txn","","","Medusaceratops","","170631","genus","Medusaceratops","492823","33792","extinct","1"
"492822","492822","txn","","","Lokiceratops","","492822","genus","Lokiceratops","492823","88706","extinct","1"
"94775","94775","txn","","","Albertaceratops","","94775","genus","Albertaceratops","492823","19935","extinct","2"
"243366","243366","txn","","","Kosmoceratops","","243366","genus","Kosmoceratops","52773","42508","extinct","2"
"38859","38859","txn","","","Pentaceratops","","38859","genus","Pentaceratops","52773","13080","extinct","13"
"170566","170566","txn","","","Coahuilaceratops","","170566","genus","Coahuilaceratops","52773","33417","extinct","1"
"461645","461645","txn","","","Bisticeratops","","461645","genus","Bisticeratops","52773","82389","extinct","1"
"340978","340978","txn","","","Spiclypeus","","340978","genus","Spiclypeus","52773","59188","extinct","1"
"179222","179222","txn","","","Titanoceratops","","179222","genus","Titanoceratops","179221","35447","extinct","1"
"38861","38861","txn","","","Torosaurus","","38861","genus","Torosaurus","179221","12251","extinct","12"
"365325","365325","txn","","","Regaliceratops","","365325","genus","Regaliceratops","179221","64543","extinct","1"
"38862","38862","txn","","","Triceratops","","38862","genus","Triceratops","179221","7835","extinct","166"
"139255","139255","txn","","","Nedoceratops","subjective synonym of","38862","genus","Triceratops","179221","28963","extinct","166"
"63889","63889","txn","","","Diceratops","subjective synonym of","38862","genus","Triceratops","179221","14728","extinct","166"
"119492","119492","txn","","","Diceratus","subjective synonym of","38862","genus","Triceratops","179221","26703","extinct","166"
"52928","52928","txn","","","Sterrholophus","subjective synonym of","38862","genus","Triceratops","179221","12252","extinct","166"
"170637","170637","txn","","","Tatankaceratops","subjective synonym of","38862","genus","Triceratops","179221","33794","extinct","166"
"170629","170629","txn","","","Ojoceratops","subjective synonym of","38862","genus","Triceratops","179221","33791","extinct","166"
"109480","109480","txn","","","Eotriceratops","","109480","genus","Eotriceratops","179221","25471","extinct","1"
"215082","215082","txn","","","Vagaceratops","","215082","genus","Vagaceratops","52773","39514","extinct","7"
"295748","295748","txn","","","Mercuriceratops","subjective synonym of","215082","genus","Vagaceratops","52773","51303","extinct","7"
"266207","266207","txn","","","Judiceratops","","266207","genus","Judiceratops","52773","46503","extinct","1"
"38855","38855","txn","","","Chasmosaurus","","38855","genus","Chasmosaurus","52773","17546","extinct","21"
"170958","170958","txn","","","Mojoceratops","subjective synonym of","38855","genus","Chasmosaurus","52773","33878","extinct","21"
"63963","63963","txn","","","Protorosaurus","subjective synonym of","38855","genus","Chasmosaurus","52773","17545","extinct","21"
"38856","38856","txn","","","Eoceratops","subjective synonym of","38855","genus","Chasmosaurus","52773","13669","extinct","21"
"52823","52823","txn","","","Ceratops","nomen dubium","52773","subfamily","Chasmosaurinae","52773","12249","extinct","2"
"66564","66564","txn","","","Proceratops","nomen dubium","52773","subfamily","Chasmosaurinae","52773","14729","extinct","2"
"38852","38852","txn","","","Anchiceratops","","38852","genus","Anchiceratops","52773","18646","extinct","7"
"243363","243363","txn","","","Utahceratops","","243363","genus","Utahceratops","52773","42508","extinct","9"
"38853","38853","txn","","","Arrhinoceratops","","38853","genus","Arrhinoceratops","52773","19269","extinct","3"
"269816","269816","txn","","","Bravoceratops","","269816","genus","Bravoceratops","52773","47025","extinct","1"
"444002","444002","txn","","","Sierraceratops","","444002","genus","Sierraceratops","52773","78571","extinct","1"
"420729","420729","txn","","","Terminocavus","","420729","genus","Terminocavus","52773","72668","extinct","1"
"112568","112568","txn","","","Agujaceratops","","112568","genus","Agujaceratops","52773","25955","extinct","16"
"420727","420727","txn","","","Navajoceratops","","420727","genus","Navajoceratops","52773","72668","extinct","1"
"66016","66016","txn","","","Ugrosaurus","nomen dubium","38851","family","Ceratopsidae","38851","13600","extinct","1"
"167126","167126","txn","","","Ajkaceratops","","167126","genus","Ajkaceratops","38842","32660","extinct","1"
"84303","84303","txn","","","Kulceratops","nomen dubium","38842","suborder","Ceratopsia","38842","16510","extinct","0"
"38796","38796","txn","","","Micropachycephalosaurus","","38796","genus","Micropachycephalosaurus","38842","9257","extinct","1"
"38844","38844","txn","","","Psittacosaurus","","38844","genus","Psittacosaurus","38842","9632","extinct","70"
"68369","68369","txn","","","Hongshanosaurus","subjective synonym of","38844","genus","Psittacosaurus","38842","14993","extinct","70"
"56329","56329","txn","","","Protiguanodon","subjective synonym of","38844","genus","Psittacosaurus","38842","9632","extinct","70"
"38787","38787","txn","","","Stegoceras","","38787","genus","Stegoceras","427307","25127","extinct","46"
"38784","38784","txn","","","Gravitholus","subjective synonym of","38787","genus","Stegoceras","427307","24421","extinct","46"
"67692","67692","txn","","","Hanssuessia","subjective synonym of","38787","genus","Stegoceras","427307","14453","extinct","46"
"38785","38785","txn","","","Ornatotholus","subjective synonym of","38787","genus","Stegoceras","427307","12772","extinct","46"
"38786","38786","txn","","","Pachycephalosaurus","","38786","genus","Pachycephalosaurus","427307","12773","extinct","34"
"38788","38788","txn","","","Stygimoloch","subjective synonym of","38786","genus","Pachycephalosaurus","427307","12772","extinct","34"
"53214","53214","txn","","","Stenotholus","subjective synonym of","38786","genus","Pachycephalosaurus","427307","4306","extinct","34"
"90168","90168","txn","","","Dracorex","subjective synonym of","38786","genus","Pachycephalosaurus","427307","19309","extinct","34"
"56578","56578","txn","","","Tylosteus","subjective synonym of","38786","genus","Pachycephalosaurus","427307","30722","extinct","34"
"38790","38790","txn","","","Prenocephale","","38790","genus","Prenocephale","427307","9908","extinct","6"
"38795","38795","txn","","","Homalocephale","","38795","genus","Homalocephale","427307","9908","extinct","2"
"293934","293934","txn","IF","","Qiyunshanpus","","293934","genus","Qiyunshanpus","38782","50964","extinct","1"
"38794","38794","txn","","","Goyocephale","","38794","genus","Goyocephale","38782","4408","extinct","1"
"67690","67690","txn","","","Colepiocephale","","67690","genus","Colepiocephale","38783","14453","extinct","4"
"267679","267679","txn","","","Amtocephale","","267679","genus","Amtocephale","38783","46741","extinct","1"
"163561","163561","txn","","","Texacephale","nomen dubium","38783","family","Pachycephalosauridae","38783","32091","extinct","2"
"137133","137133","txn","","","Alaskacephale","","137133","genus","Alaskacephale","67697","28654","extinct","1"
"444047","444047","txn","","","Sinocephale","","444047","genus","Sinocephale","38783","78579","extinct","1"
"471621","471621","txn","","","Platytholus","","471621","genus","Platytholus","67626","84639","extinct","1"
"67681","67681","txn","","","Sphaerotholus","","67681","genus","Sphaerotholus","67626","14450","extinct","6"
"519375","519375","txn","","","Brontotholus","","519375","genus","Brontotholus","67626","94597","extinct","4"
